index,slug,title,url,pdf_filename,status,step_count,pdf_page_count,pdf_size_bytes,message
1,cloudnet-agent-gateway,透過 Gemini Enterprise Agent Platform 的 Agent Gateway 管理代理工作負載,https://codelabs.developers.google.com/cloudnet-agent-gateway?hl=zh-tw,001__cloudnet-agent-gateway__透過-Gemini-Enterprise-Agent-Platform-的-Agent-Gateway-管理代理工作負載.pdf,passed,19,31,1518948,驗證通過
2,bigquery-adk-event-driven-agents,使用 BigQuery 和 ADK 建構事件導向的資料代理,https://codelabs.developers.google.com/bigquery-adk-event-driven-agents?hl=zh-tw,002__bigquery-adk-event-driven-agents__使用-BigQuery-和-ADK-建構事件導向的資料代理.pdf,passed,12,22,2382443,驗證通過
3,genui-intro,建構生成式使用者介面 (GenUI) 應用程式,https://codelabs.developers.google.com/codelabs/genui-intro?hl=zh-tw,003__genui-intro__建構生成式使用者介面-(GenUI)-應用程式.pdf,passed,9,35,1315665,驗證通過
4,litert-image-segmentation-cpp,使用 LiteRT 在 C++ 中進行裝置端圖像分割,https://developers.google.com/codelabs/litert-image-segmentation-cpp?hl=zh-tw,004__litert-image-segmentation-cpp__使用-LiteRT-在-C-中進行裝置端圖像分割.pdf,passed,14,27,3614998,驗證通過
5,google-workspace-mcp-antigravity,Google Antigravity 中的 Google Workspace MCP 伺服器,https://codelabs.developers.google.com/google-workspace-mcp-antigravity?hl=zh-tw,005__google-workspace-mcp-antigravity__Google-Antigravity-中的-Google-Workspace-MCP-伺服器.pdf,passed,7,21,2980054,驗證通過
6,agentic-app-gemini-3-adk,使用 Gemini 3 和 ADK 建構自己的「討價還價店主」代理,https://codelabs.developers.google.com/agentic-app-gemini-3-adk?hl=zh-tw,006__agentic-app-gemini-3-adk__使用-Gemini-3-和-ADK-建構自己的「討價還價店主」代理.pdf,passed,12,28,12464885,驗證通過
7,evaluate-agent-skills-using-open-source-frameworks,使用開放原始碼架構評估代理程式技能,https://codelabs.developers.google.com/codelabs/evaluate-agent-skills-using-open-source-frameworks?hl=zh-tw,007__evaluate-agent-skills-using-open-source-frameworks__使用開放原始碼架構評估代理程式技能.pdf,passed,7,12,977757,驗證通過
8,agentforce-sales-setup,將 Agentforce 銷售代理連結至 Gemini Enterprise,https://codelabs.developers.google.com/agentforce-sales-setup?hl=zh-tw,008__agentforce-sales-setup__將-Agentforce-銷售代理連結至-Gemini-Enterprise.pdf,passed,5,10,1169892,驗證通過
9,agents-cli-agent-platform-agents-cli-agent-platform,Agent Platform 的 Agents CLI：從開發到正式環境,https://codelabs.developers.google.com/agents-cli-agent-platform/agents-cli-agent-platform?hl=zh-tw,009__agents-cli-agent-platform-agents-cli-agent-platform__Agent-Platform-的-Agents-CLI-從開發到正式環境.pdf,passed,14,31,1348400,驗證通過
10,add-to-wallet-web,使用 Google Wallet API 在網頁上建立票證,https://codelabs.developers.google.com/add-to-wallet-web?hl=zh-tw,010__add-to-wallet-web__使用-Google-Wallet-API-在網頁上建立票證.pdf,passed,7,18,1844053,驗證通過
11,gemini-object-detection-and-editing-notebook,運用 Gemini 和 Nano Banana 偵測及編輯視覺物件,https://codelabs.developers.google.com/gemini-object-detection-and-editing-notebook?hl=zh-tw,011__gemini-object-detection-and-editing-notebook__運用-Gemini-和-Nano-Banana-偵測及編輯視覺物件.pdf,passed,4,7,7511642,驗證通過
12,smarthome-local,為雲端到雲端整合啟用本機執行作業 | Cloud-to-cloud | Google Home Developers,https://developers.home.google.com/codelabs/smarthome-local?hl=zh-tw,012__smarthome-local__為雲端到雲端整合啟用本機執行作業-Cloud-to-cloud-Google-Home-Developers.pdf,passed,9,32,2614697,驗證通過
13,smarthome-debugging-local,本地首頁偵錯 | Cloud-to-cloud | Google Home Developers,https://developers.home.google.com/codelabs/smarthome-debugging-local?hl=zh-tw,013__smarthome-debugging-local__本地首頁偵錯-Cloud-to-cloud-Google-Home-Developers.pdf,passed,7,24,2579181,驗證通過
14,smarthome-debugging,對智慧型住宅進行偵錯 | Cloud-to-cloud | Google Home Developers,https://developers.home.google.com/codelabs/smarthome-debugging?hl=zh-tw,014__smarthome-debugging__對智慧型住宅進行偵錯-Cloud-to-cloud-Google-Home-Developers.pdf,passed,5,18,1963875,驗證通過
15,smarthome-traits,強化及保護雲端到雲端整合 | Cloud-to-cloud | Google Home Developers,https://developers.home.google.com/codelabs/smarthome-traits?hl=zh-tw,015__smarthome-traits__強化及保護雲端到雲端整合-Cloud-to-cloud-Google-Home-Developers.pdf,passed,8,34,2436168,驗證通過
