index,slug,category,level,updated_date,duration_text,title,pdf_filename,status,step_count,pdf_page_count,url
816,agent-starter-pack-golang,AI / Gemini / Agent / Vertex AI,初階,2026-03-21,,Agent Starter Pack (Go 適用的 ADK),816__agent-starter-pack-golang__Agent-Starter-Pack-(Go-適用的-ADK).pdf,passed,9,14,https://codelabs.developers.google.com/codelabs/agent-starter-pack-golang?hl=zh-tw
595,intro-gemini-25-pro-colab,AI / Gemini / Agent / Vertex AI,初階,2026-03-27,,Google Cloud 上的 Gemini 2.5 Pro 簡介,595__intro-gemini-25-pro-colab__Google-Cloud-上的-Gemini-2.5-Pro-簡介.pdf,passed,9,13,https://codelabs.developers.google.com/codelabs/intro-gemini-25-pro-colab?hl=zh-tw
326,spanner-mcp-server,AI / Gemini / Agent / Vertex AI,初階,2026-03-28,,程式碼實驗室：Spanner MCP 伺服器,326__spanner-mcp-server__程式碼實驗室-Spanner-MCP-伺服器.pdf,passed,5,16,https://codelabs.developers.google.com/spanner-mcp-server?hl=zh-tw
340,image-generation-using-keywords,AI / Gemini / Agent / Vertex AI,初階,2026-03-28,,生成式 AI - 根據關鍵字生成圖片,340__image-generation-using-keywords__生成式-AI-根據關鍵字生成圖片.pdf,passed,6,17,https://codelabs.developers.google.com/image-generation-using-keywords?hl=zh-tw
343,stylish-with-duet,AI / Gemini / Agent / Vertex AI,初階,2026-03-28,,使用 Gemini Code Assist 打造時尚風格,343__stylish-with-duet__使用-Gemini-Code-Assist-打造時尚風格.pdf,passed,7,17,https://codelabs.developers.google.com/codelabs/stylish-with-duet?hl=zh-tw
347,testing-with-gemini-code-assist,AI / Gemini / Agent / Vertex AI,初階,2026-03-28,,使用 Gemini Code Assist 進行測試簡介,347__testing-with-gemini-code-assist__使用-Gemini-Code-Assist-進行測試簡介.pdf,passed,9,20,https://codelabs.developers.google.com/codelabs/testing-with-gemini-code-assist?hl=zh-tw
356,multi-tools-ai-agent-adk,AI / Gemini / Agent / Vertex AI,初階,2026-03-28,,ADK：從基本概念到多工具代理程式,356__multi-tools-ai-agent-adk__ADK-從基本概念到多工具代理程式.pdf,passed,8,16,https://codelabs.developers.google.com/multi-tools-ai-agent-adk?hl=zh-tw
418,intro-to-adk-live,AI / Gemini / Agent / Vertex AI,初階,2026-03-28,,ADK Gemini Live API 工具包簡介,418__intro-to-adk-live__ADK-Gemini-Live-API-工具包簡介.pdf,passed,4,10,https://codelabs.developers.google.com/intro-to-adk-live?hl=zh-tw
421,troubleshooting-with-gemini,AI / Gemini / Agent / Vertex AI,初階,2026-03-28,,程式碼實驗室：運用 Gemini 排解問題,421__troubleshooting-with-gemini__程式碼實驗室-運用-Gemini-排解問題.pdf,passed,5,16,https://codelabs.developers.google.com/codelabs/troubleshooting-with-gemini?hl=zh-tw
425,gemini-function-calling-java,AI / Gemini / Agent / Vertex AI,初階,2026-03-28,,以 Java 實作 Gemini 函式呼叫，打造確定性生成式 AI,"425__gemini-function-calling-java__以-Java-實作-Gemini-函式呼叫,打造確定性生成式-AI.pdf",passed,9,16,https://codelabs.developers.google.com/gemini-function-calling-java?hl=zh-tw
428,draw-a-website-gemini,AI / Gemini / Agent / Vertex AI,初階,2026-03-28,,繪製網站：運用 Gemini 模型，發揮想像力打造網站！,"428__draw-a-website-gemini__繪製網站-運用-Gemini-模型,發揮想像力打造網站.pdf",passed,9,19,https://codelabs.developers.google.com/draw-a-website-gemini?hl=zh-tw
492,multi-tool-ai-agent-adk,AI / Gemini / Agent / Vertex AI,初階,2026-03-28,,ADK：從基本概念到多工具代理程式,492__multi-tool-ai-agent-adk__ADK-從基本概念到多工具代理程式.pdf,passed,8,16,https://codelabs.developers.google.com/multi-tool-ai-agent-adk?hl=zh-tw
218,looker-mcp-toolbox,AI / Gemini / Agent / Vertex AI,初階,2026-04-13,26 分鐘,使用 MCP Toolbox 將 Gemini CLI 連接至 Looker,218__looker-mcp-toolbox__使用-MCP-Toolbox-將-Gemini-CLI-連接至-Looker.pdf,passed,8,13,https://codelabs.developers.google.com/codelabs/looker-mcp-toolbox?hl=zh-tw
